Date,Used,NomFr,Definition,NomEn,Trigramme,NomFichierExcel
2021-11-10 00:00:00,,1,,1,1,IBIA_ACCMGR_Outil.xlsx
2021-11-10 00:00:00,,2,,2,2,IBIA_ACCMGR_Outil.xlsx
2021-11-10 00:00:00,,3,,3,3,IBIA_ACCMGR_Outil.xlsx
2021-11-10 00:00:00,,4,,4,4,IBIA_ACCMGR_Outil.xlsx
2021-11-10 00:00:00,,5,,5,5,IBIA_ACCMGR_Outil.xlsx
2021-11-10 00:00:00,,6,,6,6,IBIA_ACCMGR_Outil.xlsx
2021-11-10 00:00:00,,7,,7,7,IBIA_ACCMGR_Outil.xlsx
2021-11-10 00:00:00,,8,,8,8,IBIA_ACCMGR_Outil.xlsx
2021-11-10 00:00:00,,9,,9,9,IBIA_ACCMGR_Outil.xlsx
2020-02-07 00:00:00,,"""a l'autorité parentale""",,"""got the parental authority""",GOTPAAAHR,IBIA_ACCMGR_Outil.xlsx
2020-02-07 00:00:00,,"""a le pouvoir bancaire""",,"""got the banking power""",GOTBNKPOW,IBIA_ACCMGR_Outil.xlsx
2020-02-06 00:00:00,,"""a une entreprise individuelle""",,"""got an individual company""",GOTIDVCNY,IBIA_ACCMGR_Outil.xlsx
2020-02-07 00:00:00,,"""appartient au foyer fiscal""",,"""belonging to the fiscal household""",BLGFSCHHD,IBIA_ACCMGR_Outil.xlsx
2020-02-07 00:00:00,,"""bénéficiaire effectif""",,"""effective beneficiary""",EFTBEN,IBIA_ACCMGR_Outil.xlsx
2018-10-19 00:00:00,,"""Centre Est Europe""",,"""Centre Est Europe""",CEE,IBIA_ACCMGR_Outil.xlsx
2021-11-12 00:00:00,,2nd meilleur,,,TO2,IBIA_ACCMGR_Outil.xlsx
2020-07-06 00:00:00,,36 derniers mois,,last 36 months,LST36M,IBIA_ACCMGR_Outil.xlsx
2021-01-03 00:00:00,,à payer,,required to pay,RTP,IBIA_ACCMGR_Outil.xlsx
2021-01-03 00:00:00,,abonné,,subscriber,SBC,IBIA_ACCMGR_Outil.xlsx
2021-01-03 00:00:00,,absence,,absence,ABS,IBIA_ACCMGR_Outil.xlsx
2019-09-16 00:00:00,,ACAM,Autorité de Contrôle des Assurances et des Mutuelles,ACAM,AAM,IBIA_ACCMGR_Outil.xlsx
2020-09-08 00:00:00,,accès,,access,AKS,IBIA_ACCMGR_Outil.xlsx
2020-09-08 00:00:00,,accès confidentiel,,confidential access,CFDAKS,IBIA_ACCMGR_Outil.xlsx
2020-07-28 00:00:00,,accident,,accident,ACD,IBIA_ACCMGR_Outil.xlsx
2020-08-11 00:00:00,,accident de circulation,,Traffic accident,TFFACD,IBIA_ACCMGR_Outil.xlsx
2020-06-30 00:00:00,,accord de gestion,,management agreement,MGTAGM,IBIA_ACCMGR_Outil.xlsx
2020-08-06 00:00:00,,accouchement,,delivery,DLY,IBIA_ACCMGR_Outil.xlsx
2019-09-11 00:00:00,,ACEM,Action Clé En Main,turnkey action,TNKACT,IBIA_ACCMGR_Outil.xlsx
2019-09-13 00:00:00,,ACEM réalisée,,turnkey action completion,TNKACTCPI,IBIA_ACCMGR_Outil.xlsx
